Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30
1-T-R_unscaled,1-T-R_unsmooth,DA,DA_1stderiv,DA_2ndderiv,DA_unscaled,E,IA,IA_1stderiv,IA_2ndderiv,IA_unscaled,TR,TR_unscaled,TR_unsmooth,abs,abs_1stderiv,abs_2ndderiv,abs_unscaled,abs_unsmooth,av-raw_refl,av-raw_trans,dark_refl,dark_trans,fitdata-DA,fitdata-IA,rawselectinds,ref_refl,ref_trans,refl_unsmooth,trans_unsmooth
-0.011,-0.011,0.004,0,0,0.029,1.563,0.252,0.002,0,0.414,0.896,1.011,1.012,0.123,0.293,1.597,0.11,-0.011,1.115,1.906,1.024,0.967,0.003,0.253,0,2.416,1.96,0.065,0.946
-0.01,-0.002,0.004,0,0,0.03,1.569,0.253,0.002,0,0.416,0.896,1.011,1.002,0.123,0.303,1.579,0.11,-0.002,1.111,1.945,1.027,0.966,0.004,0.256,0,2.454,2.004,0.059,0.943
-0.009,-0.01,0.004,0,0,0.031,1.575,0.255,0.002,0,0.419,0.895,1.009,1.011,0.125,0.313,1.668,0.111,-0.01,1.121,2.021,1.025,0.966,0.004,0.258,0,2.542,2.081,0.063,0.947
-0.008,0,0.004,0,0,0.032,1.581,0.257,0.002,0,0.422,0.894,1.008,1,0.126,0.321,1.787,0.113,0,1.133,2.167,1.028,0.966,0.004,0.26,0,2.722,2.246,0.062,0.938
-0.007,-0.011,0.004,0,0,0.033,1.587,0.259,0.002,0,0.425,0.892,1.007,1.012,0.127,0.328,1.959,0.114,-0.012,1.171,2.543,1.03,0.966,0.005,0.263,0,3.163,2.634,0.066,0.945
-0.005,-0.013,0.005,0,0,0.034,1.593,0.261,0.003,0,0.428,0.891,1.006,1.014,0.129,0.335,2.134,0.115,-0.014,1.198,2.799,1.028,0.966,0.005,0.265,0,3.654,2.899,0.065,0.948
-0.004,-0.006,0.005,0,0,0.035,1.599,0.263,0.003,0,0.432,0.89,1.004,1.007,0.131,0.343,2.248,0.117,-0.007,1.196,2.759,1.034,0.966,0.005,0.268,0,3.71,2.862,0.061,0.945
-0.002,0.001,0.005,0,0,0.036,1.605,0.266,0.003,0,0.436,0.888,1.002,0.999,0.133,0.351,2.297,0.119,0.001,1.172,2.444,1.016,0.967,0.005,0.27,0,3.33,2.553,0.067,0.931
0,-0.005,0.005,0,0,0.038,1.611,0.268,0.003,0,0.441,0.887,1,1.005,0.135,0.358,2.326,0.12,-0.005,1.153,2.32,1.021,0.966,0.006,0.273,0,2.966,2.412,0.068,0.937
0.002,0.004,0.005,0,0,0.04,1.618,0.272,0.003,0,0.446,0.884,0.998,0.995,0.138,0.366,2.251,0.123,0.005,1.148,2.3,1.032,0.966,0.006,0.275,0,2.869,2.396,0.063,0.933
